timestamp	userId	username	instanceId	activityId	activityTitle	activityType	plane	type	itemId	value	payload
Mon, 30 Nov 2020 11:18:44 GMT		-SEBI-	MJq483N8WXHz9MzBk	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		1	
Mon, 30 Nov 2020 11:18:45 GMT		-SEBI-	MJq483N8WXHz9MzBk	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		1	
Mon, 30 Nov 2020 11:18:45 GMT		-SEBI-	MJq483N8WXHz9MzBk	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	coordinates			{"x":0,"y":0}
Mon, 30 Nov 2020 11:18:45 GMT		Léa	mL9jSJPubEFdL2hsZ	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.focus	["form",1,"text"]	""	
Mon, 30 Nov 2020 11:18:45 GMT		Léa	mL9jSJPubEFdL2hsZ	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		0.8181818181818182	
Mon, 30 Nov 2020 11:18:46 GMT		HELIOMOREL	qaQte2MipgdEF5ZTb	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.blur	["form",1,"text"]	"ME"	
Mon, 30 Nov 2020 11:18:46 GMT		HELIOMOREL	qaQte2MipgdEF5ZTb	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		0.6363636363636364	
Mon, 30 Nov 2020 11:18:48 GMT		paula	oXAFHcyBLZPrTwCX5	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.blur	["form",1,"text"]	"MER"	
Mon, 30 Nov 2020 11:18:48 GMT		paula	oXAFHcyBLZPrTwCX5	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		0.9090909090909091	
Mon, 30 Nov 2020 11:18:48 GMT		Sahar	6s6ywfF3aJCdYpQdL	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.blur	["form",9,"text"]	"Kv"	
Mon, 30 Nov 2020 11:18:48 GMT		Sahar	6s6ywfF3aJCdYpQdL	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		0.8181818181818182	
Mon, 30 Nov 2020 11:18:48 GMT		sonia	KCwKjQb76cPjzx8JX	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.blur	["form",4,"text"]	"catharsjs"	
Mon, 30 Nov 2020 11:18:48 GMT		sonia	KCwKjQb76cPjzx8JX	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		1	
Mon, 30 Nov 2020 11:18:48 GMT		sonia	KCwKjQb76cPjzx8JX	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	progress		1	
Mon, 30 Nov 2020 11:18:48 GMT		sonia	KCwKjQb76cPjzx8JX	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	coordinates			{"x":0,"y":0}
Mon, 30 Nov 2020 11:18:50 GMT		Emma	PireZZS4EC2YtDzr7	cki4fc7ai00vb01yw0fq76zqr	Exercices code de César	ac-quiz	1	reactivetext.blur	["form",5,"text"]	"dkb                                d"	
